toco,fhr
45.0,158.5
44.5,158.5
44.5,158.0
44.5,158.0
44.5,156.75
45.5,156.75
46.5,156.75
47.5,156.75
47.0,156.75
46.0,156.75
45.5,156.75
46.0,157.25
46.5,157.25
47.5,158.5
48.0,156.25
49.0,155.75
49.5,155.75
50.0,154.25
48.5,154.25
47.5,157.25
46.5,157.25
46.0,157.25
46.0,157.75
46.0,158.0
45.5,158.0
45.5,157.25
46.0,156.75
46.5,156.75
47.0,158.25
44.5,158.25
43.5,157.75
43.5,157.5
43.5,157.5
43.5,157.5
44.5,157.5
45.0,157.5
46.0,157.5
47.0,158.25
47.0,158.0
46.0,158.0
46.0,158.0
46.0,159.5
46.0,159.5
46.0,159.25
46.5,159.5
47.5,159.5
48.0,157.5
49.0,157.5
48.5,158.5
47.5,159.5
47.0,159.5
46.5,159.25
47.0,159.25
47.5,159.5
48.0,159.5
49.0,159.5
49.0,159.25
49.0,159.5
47.5,159.5
47.5,157.0
47.0,157.0
46.5,158.0
46.5,159.5
47.5,159.5
47.5,159.5
48.0,159.5
47.5,159.5
46.0,159.5
45.5,159.25
44.5,159.5
45.0,159.5
44.5,159.5
46.0,159.25
46.5,159.25
46.5,159.25
45.5,159.25
44.5,159.25
44.5,159.25
45.0,0.0
45.0,0.0
45.5,0.0
46.0,0.0
47.0,0.0
47.5,0.0
47.5,0.0
46.5,0.0
46.0,0.0
46.0,0.0
46.0,0.0
46.0,0.0
47.0,0.0
47.5,0.0
48.0,0.0
47.0,0.0
46.0,0.0
45.0,0.0
44.5,0.0
44.5,0.0
45.0,0.0
46.0,0.0
47.0,0.0
47.5,0.0
46.5,0.0
45.5,0.0
44.5,158.0
44.5,158.0
45.0,156.5
46.5,156.0
47.5,155.5
48.5,155.5
47.5,156.25
46.0,156.25
45.5,156.5
45.0,156.25
44.5,156.25
44.5,156.75
45.0,156.75
46.0,156.75
47.0,156.75
47.5,0.0
46.5,0.0
46.0,0.0
46.0,0.0
45.5,0.0
45.5,0.0
46.0,0.0
47.5,0.0
48.5,0.0
49.0,0.0
49.0,0.0
48.0,157.5
47.5,157.5
47.0,157.5
46.5,157.5
47.0,157.5
47.5,156.5
48.5,156.5
49.0,156.5
48.0,156.5
46.5,0.0
46.0,0.0
45.5,0.0
45.5,0.0
46.0,0.0
47.0,0.0
47.5,0.0
47.5,0.0
46.0,0.0
45.5,0.0
45.0,0.0
44.5,0.0
44.5,0.0
44.5,0.0
46.0,0.0
46.0,0.0
46.5,0.0
46.0,155.25
44.5,157.25
44.5,157.25
44.5,156.75
44.5,159.0
45.0,159.0
46.0,159.0
46.5,158.0
46.0,158.0
45.0,156.75
45.0,156.75
45.5,156.75
46.0,156.25
46.0,156.25
47.5,156.25
48.5,156.25
49.0,156.25
48.0,156.25
47.5,156.25
47.5,156.25
47.0,155.25
47.0,155.25
47.0,155.25
46.5,155.25
47.0,155.5
47.0,155.5
47.5,155.5
46.5,155.5
46.0,155.5
46.0,0.0
46.0,0.0
46.0,0.0
46.0,0.0
46.5,0.0
47.0,0.0
47.5,0.0
48.0,0.0
48.0,0.0
47.5,0.0
47.0,0.0
47.0,0.0
46.0,0.0
46.0,0.0
45.5,0.0
45.5,0.0
45.5,0.0
44.5,0.0
43.5,0.0
43.0,0.0
42.5,0.0
42.0,0.0
42.5,165.0
42.5,163.75
43.0,163.75
43.0,163.25
43.0,164.75
42.5,164.75
42.5,164.75
42.5,165.5
42.5,168.25
43.0,168.25
42.5,166.5
43.0,166.5
43.0,166.5
43.0,0.0
42.5,0.0
42.0,0.0
41.5,0.0
41.5,0.0
41.5,0.0
41.5,0.0
41.5,0.0
41.5,0.0
42.5,0.0
42.0,0.0
42.0,0.0
41.5,0.0
41.5,0.0
41.0,0.0
40.5,0.0
40.5,0.0
40.5,0.0
41.0,0.0
41.5,0.0
41.5,0.0
41.0,0.0
40.5,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
39.5,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
39.5,0.0
39.0,0.0
38.5,0.0
38.5,0.0
38.5,0.0
38.5,0.0
38.5,0.0
39.0,0.0
39.0,0.0
39.0,110.25
38.5,110.25
38.5,114.5
38.5,114.5
39.0,114.0
38.5,114.0
39.5,113.5
40.0,113.5
40.0,109.5
40.0,109.5
41.0,109.5
40.5,109.5
40.0,111.5
40.5,111.5
40.5,111.25
40.0,111.25
38.0,111.25
37.0,111.25
37.5,111.25
38.0,111.25
37.5,111.25
36.5,111.25
36.5,0.0
35.5,0.0
32.0,0.0
31.0,0.0
30.0,0.0
31.0,0.0
31.0,0.0
30.5,0.0
31.0,0.0
28.0,0.0
26.0,0.0
23.5,0.0
23.0,0.0
25.0,0.0
27.0,0.0
26.5,0.0
25.0,0.0
24.5,0.0
24.0,0.0
23.0,0.0
22.0,162.25
20.5,163.5
19.5,163.5
19.0,163.5
18.5,163.75
18.5,164.5
20.5,164.5
21.0,164.25
20.5,163.75
18.5,163.75
18.0,163.25
17.5,162.25
17.5,162.25
17.5,162.25
20.0,161.5
21.5,161.5
23.5,161.5
20.5,161.0
21.0,161.0
19.0,160.75
18.5,161.0
18.0,161.0
19.0,160.75
20.5,160.0
22.0,160.0
22.0,160.0
20.5,160.0
21.5,160.0
20.5,160.5
22.0,160.5
23.5,160.25
22.5,160.5
23.0,160.5
23.5,160.5
23.5,160.5
23.5,160.5
23.5,160.5
26.0,160.5
25.5,160.25
24.5,160.25
24.0,160.25
25.0,160.25
27.0,160.25
27.0,160.25
26.5,160.25
25.5,160.25
27.5,160.25
29.0,0.0
30.0,0.0
31.5,0.0
31.0,0.0
30.0,0.0
29.5,0.0
28.0,0.0
26.5,0.0
26.5,0.0
28.0,0.0
29.0,0.0
28.5,0.0
29.5,0.0
27.5,158.75
26.5,158.75
26.0,159.0
25.0,159.25
25.5,159.25
27.0,158.5
29.5,158.25
29.5,158.25
29.5,158.5
28.5,158.25
27.5,158.25
27.5,158.5
27.5,157.75
28.5,157.75
30.0,157.0
31.0,156.25
32.0,156.25
31.0,156.5
29.5,156.5
28.5,157.0
28.0,156.5
28.0,156.5
29.5,155.75
30.5,155.75
31.0,155.75
31.0,156.0
28.5,155.5
28.0,155.5
27.0,155.25
26.5,155.0
28.0,155.0
29.0,155.0
29.5,155.5
30.5,155.5
31.0,156.0
31.0,156.5
30.0,156.5
30.0,156.0
30.5,156.0
30.5,156.0
33.0,156.0
36.0,156.0
43.0,156.0
35.0,156.0
31.5,156.0
34.0,156.0
36.5,154.25
34.5,154.25
34.5,154.25
33.5,154.25
33.0,154.25
34.0,156.75
34.0,157.25
34.0,157.25
36.0,157.25
35.5,157.0
34.0,157.0
34.0,157.0
34.0,157.25
34.0,157.25
35.5,156.75
36.5,156.75
35.5,157.0
35.5,157.5
35.5,157.5
35.0,157.5
34.0,157.75
32.5,157.75
32.5,158.25
34.5,158.0
36.0,158.0
37.0,158.25
36.5,158.5
36.5,158.5
36.5,158.5
37.5,158.5
39.5,158.5
40.5,157.75
39.0,157.75
39.5,157.75
39.0,157.75
38.5,157.5
38.5,157.5
38.5,158.25
38.5,158.0
38.5,158.0
36.0,160.0
35.0,159.0
35.0,159.0
35.5,158.5
38.0,158.5
40.0,158.5
40.0,158.25
39.0,158.5
38.5,158.5
38.5,158.75
38.5,159.0
38.5,159.0
38.5,159.25
37.5,159.5
37.0,159.5
36.0,159.5
35.0,159.25
34.0,159.25
34.5,159.25
35.5,159.5
37.0,159.5
36.5,159.5
35.5,159.5
34.0,159.5
33.5,159.25
32.5,158.5
32.5,158.5
32.5,158.75
31.5,159.0
31.0,159.0
30.5,159.0
29.5,159.0
28.5,159.0
28.0,159.25
29.5,159.25
30.0,159.25
31.0,159.5
31.0,159.5
30.5,159.5
30.0,159.25
31.5,159.25
31.5,159.25
32.0,159.25
32.5,159.0
31.5,159.0
31.5,159.0
32.0,159.0
33.0,159.0
34.0,159.25
36.0,158.75
36.0,158.75
35.5,158.75
34.5,158.75
34.0,158.75
34.0,158.75
34.0,158.75
32.5,158.25
32.0,157.75
31.0,157.75
30.5,157.75
30.0,157.75
29.0,157.25
28.0,157.25
31.0,158.5
31.0,157.5
31.0,157.5
30.5,158.0
30.0,158.0
30.0,157.0
29.5,157.5
31.0,157.5
30.5,157.75
30.5,156.75
31.0,156.75
32.0,157.25
34.0,157.25
35.0,157.25
34.0,156.75
33.0,157.0
32.5,157.0
32.5,156.0
33.0,156.0
33.0,156.0
33.5,156.25
34.0,156.25
34.5,156.0
35.0,155.5
35.0,155.5
34.0,155.25
33.0,155.5
32.0,155.5
31.5,154.75
31.5,155.75
32.5,155.75
33.0,154.25
34.0,154.25
34.0,153.75
34.0,153.75
33.5,153.75
32.5,153.75
31.5,153.5
31.0,153.5
31.0,153.75
31.0,152.75
31.0,152.75
32.5,152.75
33.0,152.75
33.0,152.5
32.0,151.75
31.0,151.75
31.0,152.0
30.5,152.0
30.5,152.0
30.0,151.75
30.5,151.5
31.0,151.5
32.5,151.25
32.5,151.25
32.5,150.25
32.5,150.75
31.0,150.75
30.5,152.0
30.5,152.0
30.0,152.0
31.0,152.25
30.5,152.25
31.0,151.75
32.0,151.0
32.5,151.0
32.0,151.5
30.5,152.5
29.5,152.5
28.5,153.0
28.0,152.75
28.0,152.75
28.0,153.0
29.5,153.0
30.0,151.75
31.0,151.75
31.5,151.75
31.0,153.0
30.0,153.0
29.5,153.0
29.5,153.5
29.5,153.75
29.5,153.75
30.0,153.75
31.0,153.25
32.0,153.25
32.0,153.25
31.5,153.25
30.5,153.25
29.5,153.0
29.5,153.0
29.0,153.25
29.0,152.5
28.5,152.5
28.5,153.0
28.5,153.0
29.0,153.5
29.5,153.0
29.0,153.0
28.0,152.75
27.0,153.25
26.5,153.25
26.5,153.0
26.5,153.0
26.5,153.0
26.0,153.0
26.0,153.25
25.0,153.25
25.0,153.75
25.0,153.75
26.0,153.75
26.0,153.75
25.0,153.75
25.0,154.5
25.0,154.75
25.0,154.75
25.5,154.75
26.5,155.25
28.0,155.25
28.5,155.5
29.5,155.75
29.5,155.75
29.0,155.5
28.5,155.75
28.0,155.75
28.0,156.0
28.5,155.75
29.0,155.75
30.0,155.5
31.5,155.5
32.5,156.25
32.0,156.25
31.0,156.25
29.5,156.0
29.5,158.0
29.0,158.0
29.0,156.75
28.5,156.5
29.0,156.5
29.5,156.25
30.0,155.75
30.5,155.75
29.5,156.5
29.0,156.5
28.0,156.5
28.0,156.75
28.0,156.75
28.0,156.75
28.5,157.25
30.5,156.25
31.0,156.25
30.0,156.5
29.0,157.5
28.0,157.5
28.0,157.75
28.5,157.75
28.5,157.75
29.0,158.0
29.5,157.5
31.0,157.5
31.0,159.25
30.5,159.25
29.5,158.5
28.5,157.5
28.0,159.0
28.0,159.0
28.5,159.25
29.0,159.25
29.5,158.75
30.5,159.0
31.5,159.0
32.5,159.5
32.0,160.0
31.0,160.0
30.5,160.0
30.5,160.0
30.5,160.0
31.0,160.25
30.5,160.5
30.5,160.5
30.5,160.5
29.0,161.0
28.0,161.25
28.0,161.25
27.5,160.25
26.5,160.25
26.5,160.25
27.0,159.5
26.5,160.0
26.5,160.0
26.5,160.0
27.0,160.0
27.0,160.25
28.0,160.25
29.5,160.25
30.5,160.25
31.0,160.75
29.5,160.75
29.5,160.75
29.5,160.5
30.5,161.0
30.5,161.0
31.0,160.25
31.0,160.25
31.0,160.25
32.5,160.5
34.0,160.0
34.0,160.0
33.0,160.25
32.5,160.0
32.0,160.0
31.5,159.5
31.5,160.0
31.5,160.0
31.5,160.25
32.5,160.25
34.0,160.25
34.5,160.25
34.5,160.25
33.5,160.25
32.5,160.25
31.5,160.75
31.0,160.75
31.5,160.25
31.5,160.75
32.0,160.75
31.5,160.75
31.5,160.5
31.0,160.5
32.0,160.0
33.0,160.0
34.0,160.5
32.5,160.5
32.5,160.75
32.5,160.5
32.5,160.5
32.5,160.75
34.0,160.0
35.5,160.0
37.0,160.5
37.5,159.5
37.0,159.5
36.5,160.5
35.5,159.0
37.0,159.0
38.5,159.5
40.0,160.25
40.0,160.25
38.5,160.0
