toco,fhr
51.0,206.75
51.0,206.75
51.0,209.5
51.0,209.5
51.0,209.5
51.0,209.5
61.0,209.5
61.0,209.5
61.0,209.5
61.0,209.5
61.0,209.5
61.0,144.5
34.0,144.5
34.0,144.5
34.0,145.75
35.5,145.75
35.5,145.75
35.5,144.75
32.0,144.75
32.0,144.75
32.0,144.75
28.5,144.75
28.5,144.75
28.5,143.75
33.0,143.75
33.0,143.75
33.0,143.25
33.5,143.25
33.5,143.25
33.5,142.75
28.5,142.75
28.5,142.75
28.5,142.25
29.5,142.25
29.5,142.25
29.5,142.0
33.0,142.0
33.0,142.0
33.0,141.5
30.5,141.5
30.5,141.5
30.5,141.25
29.5,141.25
29.5,141.25
29.5,141.5
31.0,141.5
31.0,141.5
31.0,141.75
34.0,141.75
34.0,141.75
34.0,142.5
34.5,142.5
34.5,142.5
34.5,139.75
31.0,139.75
31.0,139.75
31.0,140.5
29.5,140.5
29.5,140.5
29.5,141.5
31.0,141.5
31.0,141.5
31.0,141.5
33.0,141.5
33.0,141.5
33.0,141.5
28.5,141.5
28.5,141.5
28.5,140.5
27.5,140.5
27.5,140.5
27.5,141.25
29.5,141.25
29.5,141.25
29.5,141.25
31.0,141.25
31.0,141.25
31.0,141.25
27.0,141.25
27.0,141.25
27.0,141.25
27.0,141.25
27.0,141.25
27.0,141.25
27.5,141.25
27.5,141.25
27.5,140.0
28.0,140.0
28.0,140.0
28.0,141.0
29.0,141.0
29.0,141.0
29.0,141.25
26.0,141.25
26.0,141.25
26.0,141.25
26.0,141.25
26.0,141.25
26.0,141.25
27.0,141.25
27.0,141.25
27.0,142.25
28.5,142.25
28.5,142.25
28.5,144.0
25.0,144.0
25.0,144.0
25.0,144.75
24.5,144.75
24.5,144.75
24.5,146.25
25.5,146.25
25.5,146.25
25.5,147.0
27.5,147.0
27.5,147.0
27.5,147.75
24.0,147.75
24.0,147.75
24.0,148.0
23.0,148.0
23.0,148.0
23.0,148.75
26.5,148.75
26.5,148.75
26.5,148.75
27.5,148.75
27.5,148.75
27.5,147.5
23.5,147.5
23.5,147.5
23.5,145.5
23.5,145.5
23.5,145.5
23.5,144.5
26.5,144.5
26.5,144.5
26.5,143.75
27.5,143.75
27.5,143.75
27.5,142.5
23.5,142.5
23.5,142.5
23.5,142.25
23.5,142.25
23.5,142.25
23.5,141.75
26.5,141.75
26.5,141.75
26.5,142.5
27.5,142.5
27.5,142.5
27.5,142.5
23.5,142.5
23.5,142.5
23.5,142.5
24.0,142.5
24.0,142.5
24.0,142.75
26.5,142.75
26.5,142.75
26.5,143.0
26.5,143.0
26.5,143.0
26.5,143.0
24.0,143.0
24.0,143.0
24.0,141.75
22.5,141.75
22.5,141.75
22.5,142.75
27.0,142.75
27.0,142.75
27.0,142.75
28.0,142.75
28.0,142.75
28.0,143.25
